observer_id,year,month,day,site_id,start_time,point,minute,species_code,distance,how,visual,sex,migrating,cluster_size,cluster_code,notes
CKD,2021,7,1,RW,8:20,5,1,SOSP,70,S,,,,,,
CKD,2021,7,1,RW,8:20,5,1,RWBL,60,V,X,M,,5,A,
CKD,2021,7,1,RW,8:20,5,1,RWBL,90,V,X,F,,2,A,
CKD,2021,7,1,RW,8:20,5,1,COYE,50,S,X,,,,,
CKD,2021,7,1,RW,8:20,5,1,DICK,30,V,X,,,,,
CKD,2021,7,1,RW,8:20,5,1,DICK,70,C,,,,,,
CKD,2021,7,1,RW,8:20,5,1,DICK,70,C,,,,,,
CKD,2021,7,1,RW,8:20,5,1,FISP,60,S,,,,,,
CKD,2021,7,1,RW,8:20,5,1,RNEP,300,C,,,,,,
CKD,2021,7,1,RW,8:20,5,1,COYE,110,S,,,,,,
CKD,2021,7,1,RW,8:20,5,1,RWBL,120,C,,,,,,
CKD,2021,7,1,RW,8:20,5,1,BHCO,100,V,X,M,,3,B,
CKD,2021,7,1,RW,8:20,5,1,BHCO,100,C,X,F,,1,B,
CKD,2021,7,1,RW,8:20,5,1,AMRO,60,S,X,,,,,
CKD,2021,7,1,RW,8:20,5,2,AMRO,90,C,,,,,,
CKD,2021,7,1,RW,8:20,5,2,COGR,110,V,X,,,2,,
CKD,2021,7,1,RW,8:20,5,2,AMCR,250,C,,,,,,
CKD,2021,7,1,RW,8:20,5,3,MODO,75,V,X,,,5,,
CKD,2021,7,1,RW,8:20,5,3,BARS,20,V,X,,,5,,
CKD,2021,7,1,RW,8:20,5,3,TRES,50,V,X,,,3,,
CKD,2021,7,1,RW,8:20,5,4,WIFL,120,C,,,,,,
CKD,2021,7,1,RW,8:20,5,4,DOWO,70,C,,,,,,
CKD,2021,7,1,RW,8:20,5,5,EAKI,80,C,,,,,,
CKD,2021,7,1,RW,8:20,5,5,BHCO,50,C,X,,,,,
CKD,2021,7,1,RW,8:20,5,6,YEWA,120,S,,,,2,,
CKD,2021,7,1,RW,8:20,5,6,EUST,40,V,X,,,,,
CKD,2021,7,1,RW,8:20,5,6,CEDW,70,C,X,,,20,,
CKD,2021,7,1,RW,8:20,5,6,AMGO,90,C,X,,,,,
CKD,2021,7,1,RW,8:30,6,1,SOSP,60,S,,,,,,
CKD,2021,7,1,RW,8:30,6,1,MODO,100,C,X,,,,,
CKD,2021,7,1,RW,8:30,6,1,AMCR,90,V,X,F,,2,,
CKD,2021,7,1,RW,8:30,6,1,DICK,50,V,,,,,,
CKD,2021,7,1,RW,8:30,6,1,DICK,90,C,X,M,,5,C,
CKD,2021,7,1,RW,8:30,6,1,RWBL,70,V,X,F,,9,C,
CKD,2021,7,1,RW,8:30,6,1,RWBL,70,V,X,M,,,,
CKD,2021,7,1,RW,8:30,6,1,RWBL,100,V,X,M,,2,,
CKD,2021,7,1,RW,8:30,6,1,BHCO,40,V,X,,,,,
CKD,2021,7,1,RW,8:30,6,1,BARS,30,V,X,,,2,,
CKD,2021,7,1,RW,8:30,6,2,DICK,120,C,,,,,,
CKD,2021,7,1,RW,8:30,6,2,INBU,50,C,,,,,,
CKD,2021,7,1,RW,8:30,6,2,AMRO,90,S,,,,,,
CKD,2021,7,1,RW,8:30,6,3,RNEP,120,C,,,,,,
CKD,2021,7,1,RW,8:30,6,3,SOSP,100,S,,,,,,
CKD,2021,7,1,RW,8:30,6,4,GRCA,20,C,,,,,,
CKD,2021,7,1,RW,8:30,6,5,COYE,80,S,,,,,,
CKD,2021,7,1,RW,8:30,6,5,WAVI,100,S,,,,,,
CKD,2021,7,1,RW,8:30,6,6,COGR,110,V,X,,,5,,
CKD,2021,7,1,RW,8:30,6,6,EUST,110,V,X,,,2,,
CKD,2021,7,1,RW,8:40,7,1,COYE,90,S,,,,,,
CKD,2021,7,1,RW,8:40,7,1,AMRO,120,S,,,,,,
CKD,2021,7,1,RW,8:40,7,1,DICK,110,C,,,,,,
CKD,2021,7,1,RW,8:40,7,1,NOCA,110,S,,,,,,
CKD,2021,7,1,RW,8:40,7,1,DICK,70,C,X,,,2,,
CKD,2021,7,1,RW,8:40,7,1,DICK,110,C,,,,,,
CKD,2021,7,1,RW,8:40,7,1,RWBL,80,V,X,M,,12,,
CKD,2021,7,1,RW,8:40,7,1,RWBL,110,V,X,F,,3,,
CKD,2021,7,1,RW,8:40,7,1,RWBL,150,V,X,M,,2,,
CKD,2021,7,1,RW,8:40,7,1,MODO,30,V,X,,,,,
CKD,2021,7,1,RW,8:40,7,2,COGR,150,V,X,,,5,,
CKD,2021,7,1,RW,8:40,7,2,COGR,170,V,X,,,2,,
CKD,2021,7,1,RW,8:40,7,3,KILL,120,C,,,,,,
CKD,2021,7,1,RW,8:40,7,4,COGR,70,V,X,,,7,,
CKD,2021,7,1,RW,8:40,7,4,BARS,170,V,X,,,,,
CKD,2021,7,1,RW,8:40,7,4,EAME,170,S,,,,2,,
CKD,2021,7,1,RW,8:40,7,5,BHCO,110,C,X,M,,2,,
CKD,2021,7,1,RW,8:40,7,5,EUST,100,C,X,,,5,,
CKD,2021,7,1,RW,8:40,7,6,NOBI,,,,,,,,
CKD,2021,7,1,RW,8:50,8,1,GBHE,100,V,X,,,,,
CKD,2021,7,1,RW,8:50,8,1,DICK,60,V,X,F,,3,,
CKD,2021,7,1,RW,8:50,8,1,RWBL,70,V,X,M,,7,D,
CKD,2021,7,1,RW,8:50,8,1,RWBL,70,V,X,F,,2,D,
CKD,2021,7,1,RW,8:50,8,1,COYE,60,S,,,,,,
CKD,2021,7,1,RW,8:50,8,1,EAME,120,S,,,,,,
CKD,2021,7,1,RW,8:50,8,1,COGR,90,V,X,,,5,,
CKD,2021,7,1,RW,8:50,8,1,RWBL,120,V,X,M,,2,,
CKD,2021,7,1,RW,8:50,8,1,DICK,110,C,,,,,,
CKD,2021,7,1,RW,8:50,8,2,BARS,80,V,X,,,2,,
CKD,2021,7,1,RW,8:50,8,2,KILL,100,C,,,,,,
CKD,2021,7,1,RW,8:50,8,3,HOWR,80,C,,,,,,
CKD,2021,7,1,RW,8:50,8,4,NOBI,,,,,,,,
CKD,2021,7,1,RW,8:50,8,5,GRCA,60,C,,,,,,
