observer_id,year,month,day,site_id,start_time,point,minute,species_code,distance,how,visual,sex,migrating,cluster_size,cluster_code,notes
CKD,2021,11,6,RW,7:39,5,1,CANG,100,V,X,,,110,,
CKD,2021,11,6,RW,7:39,5,1,CACG,125,V,X,,,2,,
CKD,2021,11,6,RW,7:39,5,1,MALL,120,V,X,,,14,,
CKD,2021,11,6,RW,7:39,5,1,AMGO,100,C,X,,,2,,
CKD,2021,11,6,RW,7:39,5,1,AMRO,90,V,X,,,5,,
CKD,2021,11,6,RW,7:39,5,2,LALO,110,C,,,,2,,
CKD,2021,11,6,RW,7:39,5,2,HOLA,100,C,,,,2,,
CKD,2021,11,6,RW,7:39,5,3,EABL,150,C,,,,,,
CKD,2021,11,6,RW,7:39,5,4,EUST,75,V,X,,,6,,
CKD,2021,11,6,RW,7:39,5,4,AMGO,100,C,,,,,,
CKD,2021,11,6,RW,7:39,5,4,WTSP,80,C,,,,,,
CKD,2021,11,6,RW,7:39,5,5,GWFG,125,V,,,,,,
CKD,2021,11,6,RW,7:39,5,5,WODU,125,V,X,M,,4,A,
CKD,2021,11,6,RW,7:39,5,5,WODU,125,V,X,F,,5,A,
CKD,2021,11,6,RW,7:39,5,5,AMGO,80,V,X,,,3,,
CKD,2021,11,6,RW,7:39,5,6,PBGR,110,V,X,,,,,
CKD,2021,11,6,RW,7:39,5,6,AMCR,350,C,,,,2,,
CKD,2021,11,6,RW,7:39,5,6,WTSP,80,C,,,,2,,
CKD,2021,11,6,RW,7:39,5,6,AMCR,250,C,,,,3,,
CKD,2021,11,6,RW,7:39,5,6,NOCA,125,C,,,,,,
CKD,2021,11,6,RW,7:39,5,6,AMGO,100,C,X,,,5,,
CKD,2021,11,6,RW,7:39,5,6,RTHA,150,V,X,,,,,
CKD,2021,11,6,RW,7:52,6,1,AMRO,75,V,X,,,75,,
CKD,2021,11,6,RW,7:52,6,1,CEDW,75,V,X,,,8,,
CKD,2021,11,6,RW,7:52,6,1,RWBL,80,V,X,,,50,,
CKD,2021,11,6,RW,7:52,6,1,BHCO,80,V,X,F,,2,,
CKD,2021,11,6,RW,7:52,6,1,AMGO,90,C,X,,,5,,
CKD,2021,11,6,RW,7:52,6,1,WTSP,75,C,,,,2,,
CKD,2021,11,6,RW,7:52,6,1,YRWA,90,C,,,,2,,
CKD,2021,11,6,RW,7:52,6,2,NOCA,100,C,,,,,,
CKD,2021,11,6,RW,7:52,6,2,LISP,110,C,,,,,,
CKD,2021,11,6,RW,7:52,6,3,AMRO,90,V,X,,,30,,
CKD,2021,11,6,RW,7:52,6,3,EUST,90,C,X,,,8,,
CKD,2021,11,6,RW,7:52,6,4,DEJU,100,C,,,,2,,
CKD,2021,11,6,RW,7:52,6,5,BLJA,125,C,,,,3,,
CKD,2021,11,6,RW,7:52,6,5,WTSP,130,C,,,,5,,
CKD,2021,11,6,RW,7:52,6,6,SOSP,100,C,,,,,,
CKD,2021,11,6,RW,7:52,6,6,NOFL,150,C,,,,,,
CKD,2021,11,6,RW,7:52,6,6,DOWO,130,C,,,,,,
CKD,2021,11,6,RW,8:03,7,1,EAME,120,C,X,,,2,,
CKD,2021,11,6,RW,8:03,7,1,YRWA,150,C,,,,,,
CKD,2021,11,6,RW,8:03,7,1,EUST,175,C,X,,,2,,
CKD,2021,11,6,RW,8:03,7,1,LALO,150,C,X,,,8,,
CKD,2021,11,6,RW,8:03,7,1,YRWA,150,C,,,,,,
CKD,2021,11,6,RW,8:03,7,2,AMRO,125,C,X,,,5,,
CKD,2021,11,6,RW,8:03,7,2,RTHA,50,V,X,,,,,
CKD,2021,11,6,RW,8:03,7,3,AMGO,60,C,X,,,9,,
CKD,2021,11,6,RW,8:03,7,3,WTSP,200,C,,,,2,,
CKD,2021,11,6,RW,8:03,7,4,AMGO,300,V,X,,,80,,
CKD,2021,11,6,RW,8:03,7,4,PISI,75,C,X,,,5,,
CKD,2021,11,6,RW,8:03,7,4,COGR,90,V,X,,,5,,
CKD,2021,11,6,RW,8:03,7,5,CEDW,225,V,X,,,15,,
CKD,2021,11,6,RW,8:03,7,5,RUBL,50,C,X,,,,,
