observer_id,year,month,day,site_id,start_time,point,minute,species_code,distance,how,visual,sex,migrating,cluster_size,cluster_code,notes
CKD,2022,4,17,DQ,6:12,1,1,SMLO,75,V,X,,,20,,
CKD,2022,4,17,DQ,6:12,1,1,SMLO,75,V,X,,,80,,
CKD,2022,4,17,DQ,6:12,1,1,LALO,0,V,X,,,5,,
CKD,2022,4,17,DQ,6:12,1,2,HOLA,100,C,,,,5,,
CKD,2022,4,17,DQ,6:12,1,2,VESP,125,S,,,,,,
CKD,2022,4,17,DQ,6:12,1,2,RWBL,150,V,X,M,,3,,
CKD,2022,4,17,DQ,6:12,1,2,RWBL,200,S,,,,,,
CKD,2022,4,17,DQ,6:12,1,3,EAME,150,S,,,,,,
CKD,2022,4,17,DQ,6:12,1,4,RNEP,500,C,,,,,,
CKD,2022,4,17,DQ,6:12,1,5,SOSP,150,S,,,,,,
CKD,2022,4,17,DQ,6:12,1,5,EAME,70,V,X,,,,,
CKD,2022,4,17,DQ,6:12,1,5,MODO,200,C,,,,,,
CKD,2022,4,17,DQ,6:12,1,5,COGR,0,V,X,,,2,,
CKD,2022,4,17,DQ,6:12,1,6,SMLO,0,V,X,,,15,,
CKD,2022,4,17,DQ,6:12,1,6,BHCO,50,V,X,M,,2,,
CKD,2022,4,17,DQ,6:21,2,1,EAME,175,S,,,,,,
CKD,2022,4,17,DQ,6:21,2,1,BHCO,125,V,X,M,,,,
CKD,2022,4,17,DQ,6:21,2,1,RWBL,150,V,X,M,,2,,
CKD,2022,4,17,DQ,6:21,2,1,RWBL,225,C,,,,,,
CKD,2022,4,17,DQ,6:21,2,2,AMRO,200,S,,,,,,
CKD,2022,4,17,DQ,6:21,2,3,SMLO,0,V,X,,,15,,
CKD,2022,4,17,DQ,6:21,2,4,AMCR,500,V,X,,,,,
CKD,2022,4,17,DQ,6:21,2,5,NOBI,,,,,,,,
CKD,2022,4,17,DQ,6:21,2,6,NOBI,,,,,,,,
CKD,2022,4,17,DQ,6:30,3,1,SMLO,0,V,X,,,40,,
CKD,2022,4,17,DQ,6:30,3,1,RWBL,125,V,X,M,,4,,
CKD,2022,4,17,DQ,6:30,3,1,RWBL,160,V,X,M,,,,
CKD,2022,4,17,DQ,6:30,3,2,RWBL,100,V,X,F,,,,
CKD,2022,4,17,DQ,6:30,3,2,LALO,0,V,X,,,80,,
CKD,2022,4,17,DQ,6:30,3,3,EAME,100,S,,,,,,
CKD,2022,4,17,DQ,6:30,3,4,NOBI,,,,,,,,
CKD,2022,4,17,DQ,6:30,3,5,NOBI,,,,,,,,
CKD,2022,4,17,DQ,6:30,3,6,AMRO,50,V,X,,,,,
CKD,2022,4,17,DQ,6:30,3,6,BARS,150,C,,,,,,
CKD,2022,4,17,DQ,6:39,6,1,SMLO,50,V,X,,,30,,
CKD,2022,4,17,DQ,6:39,6,1,RWBL,70,V,X,M,,2,,
CKD,2022,4,17,DQ,6:39,6,1,RWBL,120,V,X,M,,4,,
CKD,2022,4,17,DQ,6:39,6,1,EAME,75,V,X,,,,,
CKD,2022,4,17,DQ,6:39,6,2,BHCO,50,V,X,M,,,,
CKD,2022,4,17,DQ,6:39,6,3,BHCO,150,V,X,M,,4,,
CKD,2022,4,17,DQ,6:39,6,4,CANG,400,V,X,,X,5,,
CKD,2022,4,17,DQ,6:39,6,5,RWBL,170,V,X,M,,2,,
CKD,2022,4,17,DQ,6:39,6,5,AMCR,400,V,X,,,,,
CKD,2022,4,17,DQ,6:39,6,6,MODO,250,C,X,,,,,
CKD,2022,4,17,DQ,6:48,5,1,RTHA,75,V,X,,,,,
CKD,2022,4,17,DQ,6:48,5,1,SAVS,40,C,X,,,,,
CKD,2022,4,17,DQ,6:48,5,1,SMLO,100,V,X,,,210,A,
CKD,2022,4,17,DQ,6:48,5,1,LALO,100,V,X,,,170,A,
CKD,2022,4,17,DQ,6:48,5,2,RWBL,50,V,X,M,,3,,
CKD,2022,4,17,DQ,6:48,5,2,EAME,130,S,X,,,,,
CKD,2022,4,17,DQ,6:48,5,3,BHCO,100,V,X,F,,,,
CKD,2022,4,17,DQ,6:48,5,3,RWBL,125,V,X,F,,,,
CKD,2022,4,17,DQ,6:48,5,4,BHCO,80,V,X,M,,4,,
CKD,2022,4,17,DQ,6:48,5,4,SAVS,70,C,,,,,,
CKD,2022,4,17,DQ,6:48,5,5,KILL,90,V,X,,,,,
CKD,2022,4,17,DQ,6:48,5,6,HOLA,160,C,X,,,2,,
CKD,2022,4,17,DQ,6:57,4,1,RWBL,40,V,X,M,,,,
CKD,2022,4,17,DQ,6:57,4,1,RWBL,125,V,X,M,,2,,
CKD,2022,4,17,DQ,6:57,4,1,BHCO,100,V,X,M,,,,
CKD,2022,4,17,DQ,6:57,4,2,RWBL,20,V,X,M,,,,
CKD,2022,4,17,DQ,6:57,4,3,EAME,125,S,,,,,,
CKD,2022,4,17,DQ,6:57,4,4,BHCO,150,V,X,M,,2,,
CKD,2022,4,17,DQ,6:57,4,5,KILL,200,C,,,,,,
CKD,2022,4,17,DQ,6:57,4,6,NOBI,,,,,,,,
CKD,2022,4,18,JW,6:05,1,1,AMRO,100,S,X,,,,,
CKD,2022,4,18,JW,6:05,1,1,AMRO,175,S,,,,,,
CKD,2022,4,18,JW,6:05,1,1,SOSP,80,S,,,,,,
CKD,2022,4,18,JW,6:05,1,1,RWBL,100,V,X,M,,4,,
CKD,2022,4,18,JW,6:05,1,1,RWBL,140,V,X,M,,2,,
CKD,2022,4,18,JW,6:05,1,1,SOSP,100,S,,,,,,
CKD,2022,4,18,JW,6:05,1,2,EAME,175,S,,,,,,
CKD,2022,4,18,JW,6:05,1,2,COGR,150,V,X,,,,,
CKD,2022,4,18,JW,6:05,1,2,RNEP,275,C,,,,,,
CKD,2022,4,18,JW,6:05,1,3,COGR,100,V,X,,,2,,
CKD,2022,4,18,JW,6:05,1,3,VESP,130,S,,,,,,
CKD,2022,4,18,JW,6:05,1,3,HOFI,50,C,X,M,,,,
CKD,2022,4,18,JW,6:05,1,3,BHCO,70,V,X,M,,4,,
CKD,2022,4,18,JW,6:05,1,4,KILL,150,C,,,,,,
CKD,2022,4,18,JW,6:05,1,4,EAME,90,S,,,,,,
CKD,2022,4,18,JW,6:05,1,5,SMLO,100,C,X,,,12,,
CKD,2022,4,18,JW,6:05,1,6,RNEP,300,C,,,,,,
CKD,2022,4,18,JW,6:14,2,1,RWBL,90,V,X,M,,2,,
CKD,2022,4,18,JW,6:14,2,1,EAME,120,S,,,,,,
CKD,2022,4,18,JW,6:14,2,1,EAME,160,S,,,,,,
CKD,2022,4,18,JW,6:14,2,1,BHCO,100,V,X,M,,3,,
CKD,2022,4,18,JW,6:14,2,1,SAVS,70,C,,,,,,
CKD,2022,4,18,JW,6:14,2,2,AMRO,300,S,,,,,,
CKD,2022,4,18,JW,6:14,2,3,COGR,125,V,X,,,2,,
CKD,2022,4,18,JW,6:14,2,4,SMLO,40,V,X,,,8,,
CKD,2022,4,18,JW,6:14,2,5,NOBI,,,,,,,,
CKD,2022,4,18,JW,6:14,2,6,RWBL,70,V,X,M,,,,
CKD,2022,4,18,JW,6:14,2,6,HOLA,150,C,,,,,,
CKD,2022,4,18,JW,6:23,3,1,AMRO,125,V,X,,,,,
CKD,2022,4,18,JW,6:23,3,1,RWBL,90,V,X,M,,2,,
CKD,2022,4,18,JW,6:23,3,1,RWBL,150,V,X,F,,,,
CKD,2022,4,18,JW,6:23,3,1,VESP,170,S,,,,,,
CKD,2022,4,18,JW,6:23,3,2,RWBL,225,V,X,M,,4,,
CKD,2022,4,18,JW,6:23,3,2,BHCO,125,V,X,M,,2,,
CKD,2022,4,18,JW,6:23,3,3,AMRO,100,V,X,,,,,
CKD,2022,4,18,JW,6:23,3,3,SAVS,70,C,,,,,,
CKD,2022,4,18,JW,6:23,3,4,KILL,200,C,,,,,,
CKD,2022,4,18,JW,6:23,3,5,AMPI,150,C,,,,2,,
CKD,2022,4,18,JW,6:23,3,6,NOBI,,,,,,,,
CKD,2022,4,18,JW,6:32,4,1,RWBL,100,V,X,M,,,,
CKD,2022,4,18,JW,6:32,4,1,SAVS,40,C,X,,,4,,
CKD,2022,4,18,JW,6:32,4,1,MODO,20,V,X,,,,,
CKD,2022,4,18,JW,6:32,4,1,KILL,50,V,X,,,,,
