fourletter_code,english_name,scientific_name
ABTO,Abert's Towhee,Melozone aberti
ACFL,Acadian Flycatcher,Empidonax virescens
ACWO,Acorn Woodpecker,Melanerpes formicivorus
ADWA,Adelaide's Warbler,Setophaga adelaidae
AFCD,African Collared-Dove,Streptopelia roseogrisea
AFSI,African Silverbill,Euodice cantans
AGHE,Agami Heron,Agamia agami
AISP,Ainley's Storm-Petrel,Hydrobates cheimomnestes
AKEK,Akekee,Loxops caeruleirostris
AKIA,Akiapolaau,Hemignathus wilsoni
AKIK,Akikiki,Oreomystis bairdi
AKOH,Akohekohe,Palmeria dolei
ALFL,Alder Flycatcher,Empidonax alnorum
ALTE,Aleutian Tern,Onychoprion aleuticus
ALHU,Allen's Hummingbird,Selasphorus sasin
ALSW,Alpine Swift,Apus melba
ALOR,Altamira Oriole,Icterus gularis
ALYE,Altamira Yellowthroat,Geothlypis flavovelata
AMAU,Amaui,Myadestes woahensis
AMKI,Amazon Kingfisher,Chloroceryle amazona
AMAV,American Avocet,Recurvirostra americana
AMBI,American Bittern,Botaurus lentiginosus
ABDU,American Black Duck,Anas rubripes
AMCO,American Coot,Fulica americana
AMCR,American Crow,Corvus brachyrhynchos
AMDI,American Dipper,Cinclus mexicanus
AMFL,American Flamingo,Phoenicopterus ruber
AMGP,American Golden-Plover,Pluvialis dominica
AMGO,American Goldfinch,Spinus tristis
AMKE,American Kestrel,Falco sparverius
AMOY,American Oystercatcher,Haematopus palliatus
AMPI,American Pipit,Anthus rubescens
APKI,American Pygmy Kingfisher,Chloroceryle aenea
AMRE,American Redstart,Setophaga ruticilla
AMRO,American Robin,Turdus migratorius
ATTW,American Three-toed Woodpecker,Picoides dorsalis
ATSP,American Tree Sparrow,Spizelloides arborea
AWPE,American White Pelican,Pelecanus erythrorhynchos
AMWI,American Wigeon,Mareca americana
AMWO,American Woodcock,Scolopax minor
ATMG,Amethyst-throated Mountain-gem,Lampornis amethystinus
ANMU,Ancient Murrelet,Synthliboramphus antiquus
ANHI,Anhinga,Anhinga anhinga
ANIA,Anianiau,Magumma parva
ANHU,Anna's Hummingbird,Calypte anna
ANCH,Antillean Crested Hummingbird,Orthorhyncus cristatus
ANEU,Antillean Euphonia,Euphonia musica
ANMA,Antillean Mango,Anthracothorax dominicus
ANNI,Antillean Nighthawk,Chordeiles gundlachii
ANPS,Antillean Palm-Swift,Tachornis phoenicobia
ANPI,Antillean Piculet,Nesoctites micromegas
ANSI,Antillean Siskin,Spinus dominicensis
APAP,Apapane,Himatione sanguinea
APFA,Aplomado Falcon,Falco femoralis
ARLO,Arctic Loon,Gavia arctica
ARTE,Arctic Tern,Sterna paradisaea
ARWA,Arctic Warbler,Phylloscopus borealis
ARWO,Arizona Woodpecker,Dryobates arizonae
ARRW,Arrowhead Warbler,Setophaga pharetra
ATFL,Ash-throated Flycatcher,Myiarchus cinerascens
ASSP,Ashy Storm-Petrel,Hydrobates homochroa
AFOW,Ashy-faced Owl,Tyto glaucops
ATCH,Ashy-throated Chlorospingus,Chlorospingus canigularis
ABFL,Asian Brown Flycatcher,Muscicapa dauurica
ASRF,Asian Rosy-Finch,Leucosticte arctoa
ATGR,Atitlan Grebe,Podilymbus gigas
ATPU,Atlantic Puffin,Fratercula arctica
AUOR,Audubon's Oriole,Icterus graduacauda
AUSH,Audubon's Shearwater,Puffinus lherminieri
AZRA,Aztec Rail,Rallus tenuirostris
AZTH,Aztec Thrush,Ridgwayia pinicola
AZGA,Azure Gallinule,Porphyrio flavirostris
AZCH,Azure-crowned Hummingbird,Amazilia cyanocephala
AHJA,Azure-hooded Jay,Cyanolyca cucullata
ARTA,Azure-rumped Tanager,Poecilostreptus cabanisi
BACS,Bachman's Sparrow,Peucaea aestivalis
BAWA,Bachman's Warbler,Vermivora bachmanii
BAMO,Bahama Mockingbird,Mimus gundlachii
BAHO,Bahama Oriole,Icterus northropi
BAHS,Bahama Swallow,Tachycineta cyaneoviridis
BAHW,Bahama Warbler,Setophaga flavescens
BAWO,Bahama Woodstar,Nesophlox evelynae
BAYE,Bahama Yellowthroat,Geothlypis rostrata
BATE,Baikal Teal,Sibirionetta formosa
BAJU,Baird's Junco,Junco bairdi
BASA,Baird's Sandpiper,Calidris bairdii
BAIS,Baird's Sparrow,Centronyx bairdii
BATR,Baird's Trogon,Trogon bairdii
BAEA,Bald Eagle,Haliaeetus leucocephalus
BASO,Balsas Screech-Owl,Megascops seductus
BAOR,Baltimore Oriole,Icterus galbula
BANA,Bananaquit,Coereba flaveola
BABW,Band-backed Wren,Campylorhynchus zonatus
BSTP,Band-rumped Storm-Petrel,Hydrobates castro
BRSW,Band-rumped Swift,Chaetura spinicaudus
BTBA,Band-tailed Barbthroat,Threnetes ruckeri
BTPI,Band-tailed Pigeon,Patagioenas fasciata
BAQU,Banded Quail,Philortyx fasciatus
BANW,Banded Wren,Thryophilus pleurostictus
BANS,Bank Swallow,Riparia riparia
BTGO,Bar-tailed Godwit,Limosa lapponica
BWOR,Bar-winged Oriole,Icterus maculialatus
BABU,Barbados Bullfinch,Loxigilla barbadensis
BARW,Barbuda Warbler,Setophaga subita
BACA,Bare-crowned Antbird,Gymnocichla nudiceps
BLOW,Bare-legged Owl,Margarobyas lawrencii
BNUM,Bare-necked Umbrellabird,Cephalopterus glabricollis
BSSO,Bare-shanked Screech-Owl,Megascops clarkii
BTTH,Bare-throated Tiger-Heron,Tigrisoma mexicanum
BANO,Barn Owl,Tyto alba
BARS,Barn Swallow,Hirundo rustica
BARG,Barnacle Goose,Branta leucopsis
BASH,Barolo Shearwater,Puffinus baroli
BAAN,Barred Antshrike,Thamnophilus doliatus
BABE,Barred Becard,Pachyramphus versicolor
BAFF,Barred Forest-Falcon,Micrastur ruficollis
BAHA,Barred Hawk,Morphnarchus princeps
BADO,Barred Owl,Strix varia
BAPA,Barred Parakeet,Bolborhynchus lineola
BAPU,Barred Puffbird,Nystalus radiatus
BAGO,Barrow's Goldeneye,Bucephala islandica
BAFA,Bat Falcon,Falco rufigularis
BAYW,Bay Wren,Cantorchilus nigricapillus
BBRC,Bay-breasted Cuckoo,Coccyzus rufigularis
BBWA,Bay-breasted Warbler,Setophaga castanea
BHTA,Bay-headed Tanager,Tangara gyrola
BESO,Bearded Screech-Owl,Megascops barbarus
BEWP,Bearded Wood-Partridge,Dendrortyx barbatus
BEAH,Beautiful Hummingbird,Calothorax pulcher
BETR,Beautiful Treerunner,Margarornis bellulus
BEEH,Bee Hummingbird,Mellisuga helenae
BEGU,Belcher's Gull,Larus belcheri
BEYE,Belding's Yellowthroat,Geothlypis beldingi
BESP,Bell's Sparrow,Artemisiospiza belli
BEVI,Bell's Vireo,Vireo bellii
BEFL,Belted Flycatcher,Xenotriccus callizonus
BEKI,Belted Kingfisher,Megaceryle alcyon
BETH,Bendire's Thrasher,Toxostoma bendirei
BEPE,Bermuda Petrel,Pterodroma cahow
BEHU,Berylline Hummingbird,Amazilia beryllina
BEWR,Bewick's Wren,Thryomanes bewickii
BITH,Bicknell's Thrush,Catharus bicknelli
BIAN,Bicolored Antbird,Gymnopithys bicolor
BIHA,Bicolored Hawk,Accipiter bicolor
BIWR,Bicolored Wren,Campylorhynchus griseus
